index,btor_time,status
VexRiscv-regch0-15-p0.btor,15.066,unsat
VexRiscv-regch0-20-p0.btor,79.02799999999999,unsat
VexRiscv-regch0-30-p1.btor,0.078,unsat
picorv32-check-p05.btor,6.085,unsat
picorv32-check-p09.btor,6.35,unsat
picorv32-check-p12.btor,9.132,unsat
picorv32-check-p19.btor,7.147,unsat
picorv32-check-p20.btor,11.074,unsat
picorv32-check-p22.btor,27.978,unsat
picorv32-pcregs-p0.btor,299.26,
picorv32-pcregs-p2.btor,298.98,
ponylink-slaveTXlen-unsat.btor,0.238,unsat
zipcpu-busdelay-p00.btor,13.773,unsat
zipcpu-busdelay-p15.btor,5.092,unsat
zipcpu-busdelay-p30.btor,9.278,unsat
zipcpu-busdelay-p36.btor,19.128,unsat
zipcpu-busdelay-p43.btor,1.441,unsat
zipcpu-busdelay-p46.btor,10.123,unsat
zipcpu-busdelay-p47.btor,1.944,unsat
zipcpu-pfcache-p01.btor,10.78,unsat
zipcpu-pfcache-p02.btor,4.858,unsat
zipcpu-pfcache-p13.btor,18.58,unsat
zipcpu-pfcache-p20.btor,8.603,unsat
zipcpu-pfcache-p22.btor,7.852,unsat
zipcpu-pfcache-p24.btor,6.884,unsat
zipcpu-pfcache-p27.btor,14.185,unsat
zipcpu-pfcache-p28.btor,15.848,unsat
zipcpu-zipmmu-p00.btor,11.857,unsat
zipcpu-zipmmu-p02.btor,12.27,unsat
zipcpu-zipmmu-p09.btor,5.935,unsat
zipcpu-zipmmu-p14.btor,4.922,unsat
zipcpu-zipmmu-p26.btor,9.903,unsat
zipcpu-zipmmu-p31.btor,10.072,unsat
zipcpu-zipmmu-p33.btor,16.177,unsat
zipcpu-zipmmu-p39.btor,6.03,unsat
zipcpu-zipmmu-p48.btor,6.153,unsat
