index,btor_time,status
picorv32_mutAX_nomem-p0.btor,298.122,
picorv32_mutAX_nomem-p2.btor,298.303,
picorv32_mutAX_nomem-p5.btor,298.074,
picorv32_mutAY_nomem-p1.btor,299.181,
picorv32_mutAY_nomem-p4.btor,106.463,sat
picorv32_mutAY_nomem-p6.btor,298.933,
picorv32_mutBX_nomem-p0.btor,298.358,
picorv32_mutBX_nomem-p5.btor,298.051,
picorv32_mutBX_nomem-p8.btor,297.832,
picorv32_mutBY_nomem-p1.btor,298.246,
picorv32_mutBY_nomem-p3.btor,298.738,
picorv32_mutBY_nomem-p4.btor,298.636,
picorv32_mutBY_nomem-p6.btor,298.928,
picorv32_mutBY_nomem-p7.btor,298.519,
picorv32_mutCX_nomem-p0.btor,298.707,
picorv32_mutCX_nomem-p8.btor,297.528,
picorv32_mutCY_nomem-p0.btor,298.332,
picorv32_mutCY_nomem-p3.btor,298.801,
