index,btor_time,status
dspfilters_fastfir_second-p04.btor,25.623,unsat
dspfilters_fastfir_second-p05.btor,40.691,unsat
dspfilters_fastfir_second-p06.btor,32.265,unsat
dspfilters_fastfir_second-p07.btor,45.789,unsat
dspfilters_fastfir_second-p09.btor,133.712,unsat
dspfilters_fastfir_second-p10.btor,228.41,unsat
dspfilters_fastfir_second-p11.btor,39.464,unsat
dspfilters_fastfir_second-p14.btor,298.703,
dspfilters_fastfir_second-p16.btor,29.489,unsat
dspfilters_fastfir_second-p18.btor,31.517,unsat
dspfilters_fastfir_second-p21.btor,21.551,unsat
dspfilters_fastfir_second-p22.btor,298.678,
dspfilters_fastfir_second-p25.btor,31.958,unsat
dspfilters_fastfir_second-p26.btor,298.514,
dspfilters_fastfir_second-p42.btor,35.176,unsat
dspfilters_fastfir_second-p43.btor,298.976,
dspfilters_fastfir_second-p45.btor,298.781,
qspiflash_dualflexpress_divfive-p007.btor,8.018,unsat
qspiflash_dualflexpress_divfive-p009.btor,6.613,unsat
qspiflash_dualflexpress_divfive-p016.btor,2.895,unsat
qspiflash_dualflexpress_divfive-p022.btor,3.271,unsat
qspiflash_dualflexpress_divfive-p037.btor,4.724,unsat
qspiflash_dualflexpress_divfive-p050.btor,3.238,unsat
qspiflash_dualflexpress_divfive-p054.btor,3.288,unsat
qspiflash_dualflexpress_divfive-p058.btor,5.072,unsat
qspiflash_dualflexpress_divfive-p074.btor,7.883,unsat
qspiflash_dualflexpress_divfive-p079.btor,2.977,unsat
qspiflash_dualflexpress_divfive-p092.btor,3.249,unsat
qspiflash_dualflexpress_divfive-p097.btor,5.898,unsat
qspiflash_dualflexpress_divfive-p112.btor,4.029,unsat
qspiflash_dualflexpress_divfive-p116.btor,2.074,unsat
qspiflash_dualflexpress_divfive-p120.btor,3.723,unsat
qspiflash_dualflexpress_divfive-p126.btor,2.747,unsat
qspiflash_dualflexpress_divfive-p127.btor,1.367,unsat
qspiflash_dualflexpress_divfive-p128.btor,2.643,unsat
qspiflash_dualflexpress_divfive-p133.btor,1.924,unsat
qspiflash_dualflexpress_divfive-p135.btor,1.861,unsat
qspiflash_dualflexpress_divfive-p136.btor,2.93,unsat
qspiflash_dualflexpress_divfive-p143.btor,4.563,unsat
qspiflash_dualflexpress_divfive-p154.btor,3.122,unsat
qspiflash_dualflexpress_divfive-p161.btor,2.179,unsat
qspiflash_dualflexpress_divfive-p164.btor,3.281,unsat
qspiflash_dualflexpress_divthree-p005.btor,12.607,unsat
qspiflash_dualflexpress_divthree-p006.btor,4.627,unsat
qspiflash_dualflexpress_divthree-p007.btor,12.712,unsat
qspiflash_dualflexpress_divthree-p010.btor,12.388,unsat
qspiflash_dualflexpress_divthree-p012.btor,9.991,unsat
qspiflash_dualflexpress_divthree-p032.btor,4.112,unsat
qspiflash_dualflexpress_divthree-p034.btor,3.136,unsat
qspiflash_dualflexpress_divthree-p046.btor,8.277,unsat
qspiflash_dualflexpress_divthree-p054.btor,3.248,unsat
qspiflash_dualflexpress_divthree-p068.btor,2.572,unsat
qspiflash_dualflexpress_divthree-p069.btor,3.193,unsat
qspiflash_dualflexpress_divthree-p075.btor,3.888,unsat
qspiflash_dualflexpress_divthree-p076.btor,7.934,unsat
qspiflash_dualflexpress_divthree-p085.btor,4.768,unsat
qspiflash_dualflexpress_divthree-p094.btor,4.084,unsat
qspiflash_dualflexpress_divthree-p106.btor,5.701,unsat
qspiflash_dualflexpress_divthree-p111.btor,4.727,unsat
qspiflash_dualflexpress_divthree-p113.btor,2.422,unsat
qspiflash_dualflexpress_divthree-p121.btor,2.896,unsat
qspiflash_dualflexpress_divthree-p124.btor,3.093,unsat
qspiflash_dualflexpress_divthree-p134.btor,2.999,unsat
qspiflash_dualflexpress_divthree-p136.btor,3.058,unsat
qspiflash_dualflexpress_divthree-p141.btor,5.892,unsat
qspiflash_dualflexpress_divthree-p143.btor,4.76,unsat
qspiflash_dualflexpress_divthree-p151.btor,1.839,unsat
qspiflash_dualflexpress_divthree-p153.btor,1.961,unsat
qspiflash_dualflexpress_divthree-p158.btor,4.029,unsat
qspiflash_dualflexpress_divthree-p161.btor,1.445,unsat
qspiflash_dualflexpress_divthree-p164.btor,2.333,unsat
qspiflash_qflexpress_divfive-p017.btor,2.868,unsat
qspiflash_qflexpress_divfive-p029.btor,2.903,unsat
qspiflash_qflexpress_divfive-p036.btor,2.383,unsat
qspiflash_qflexpress_divfive-p038.btor,2.935,unsat
qspiflash_qflexpress_divfive-p048.btor,2.642,unsat
qspiflash_qflexpress_divfive-p063.btor,2.536,unsat
qspiflash_qflexpress_divfive-p064.btor,4.875,unsat
qspiflash_qflexpress_divfive-p067.btor,6.042,unsat
qspiflash_qflexpress_divfive-p075.btor,5.779,unsat
qspiflash_qflexpress_divfive-p079.btor,6.212,unsat
qspiflash_qflexpress_divfive-p094.btor,3.361,unsat
qspiflash_qflexpress_divfive-p100.btor,4.086,unsat
qspiflash_qflexpress_divfive-p104.btor,3.259,unsat
qspiflash_qflexpress_divfive-p107.btor,2.481,unsat
qspiflash_qflexpress_divfive-p113.btor,5.315,unsat
qspiflash_qflexpress_divfive-p121.btor,4.715,unsat
qspiflash_qflexpress_divfive-p122.btor,3.889,unsat
qspiflash_qflexpress_divfive-p137.btor,2.773,unsat
qspiflash_qflexpress_divfive-p139.btor,3.315,unsat
vgasim_imgfifo-p036.btor,3.758,unsat
vgasim_imgfifo-p047.btor,3.34,unsat
vgasim_imgfifo-p064.btor,3.126,unsat
vgasim_imgfifo-p066.btor,2.586,unsat
vgasim_imgfifo-p070.btor,3.541,unsat
vgasim_imgfifo-p075.btor,3.558,unsat
vgasim_imgfifo-p082.btor,3.514,unsat
vgasim_imgfifo-p088.btor,3.12,unsat
vgasim_imgfifo-p089.btor,3.035,unsat
vgasim_imgfifo-p093.btor,2.621,unsat
vgasim_imgfifo-p099.btor,3.029,unsat
vgasim_imgfifo-p105.btor,2.807,unsat
vgasim_imgfifo-p109.btor,3.815,unsat
vgasim_imgfifo-p110.btor,2.883,unsat
vgasim_imgfifo-p111.btor,2.248,unsat
zipversa_composecrc_prf-p00.btor,1.154,unsat
zipversa_composecrc_prf-p03.btor,299.76800000000003,
zipversa_composecrc_prf-p07.btor,1.262,unsat
zipversa_composecrc_prf-p10.btor,38.847,unsat
zipversa_composecrc_prf-p11.btor,2.152,unsat
zipversa_composecrc_prf-p15.btor,1.395,unsat
zipversa_composecrc_prf-p17.btor,1.32,unsat
zipversa_composecrc_prf-p22.btor,1.721,unsat
