index,btor_time,status
cal102.btor2,295.53499999999997,
cal106.btor2,299.324,
cal107.btor2,299.548,
cal112.btor2,297.988,
cal117.btor2,299.077,
cal118.btor2,299.22,
cal119.btor2,298.911,
cal122.btor2,294.619,
cal123.btor2,299.339,
cal125.btor2,296.513,
cal129.btor2,298.949,
cal140.btor2,299.20799999999997,
cal142.btor2,299.4,
cal143.btor2,299.148,
cal149.btor2,299.178,
cal156.btor2,296.381,
cal159.btor2,0.273,unsat
cal161.btor2,0.285,unsat
cal162.btor2,0.249,unsat
cal176.btor2,298.286,
cal192.btor2,297.298,
cal2.btor2,298.869,
cal201.btor2,298.102,
cal206.btor2,299.16700000000003,
cal209.btor2,298.496,
cal21.btor2,36.02,unsat
cal210.btor2,298.763,
cal220.btor2,298.591,
cal224.btor2,296.672,
cal227.btor2,295.913,
cal234.btor2,298.871,
cal33.btor2,298.201,
cal34.btor2,299.749,
cal35.btor2,55.691,unsat
cal37.btor2,68.853,unsat
cal4.btor2,15.319,unsat
cal41.btor2,10.749,unsat
cal81.btor2,7.814,unsat
cal84.btor2,297.168,
cal86.btor2,298.804,
cal87.btor2,296.05,
cal90.btor2,299.298,
cal97.btor2,295.275,
cal99.btor2,298.988,
gen10.btor2,3.878,unsat
gen12.btor2,4.168,unsat
gen14.btor2,4.393,unsat
gen21.btor2,4.033,unsat
gen31.btor2,299.17,
gen35.btor2,114.574,unsat
gen39.btor2,5.036,unsat
gen43.btor2,297.984,
gen44.btor2,299.468,
h_RCU.btor2,1.849,unsat
h_TreeArb.btor2,2.849,unsat
miim.btor2,1.126,unsat
mul1.btor2,298.492,
mul2.btor2,297.037,
mul3.btor2,297.388,
mul7.btor2,0.022,sat
mul9.btor2,298.783,
paper_v3.btor2,0.004,unsat
vcegar_QF_BV_ar.btor2,0.004,unsat
vcegar_QF_BV_itc99_b13_p10.btor2,0.003,unsat
vcegar_arrays_itc99_b12_p2.btor2,3.448,unsat
vis_arrays_am2901.btor2,299.53499999999997,
vis_arrays_am2910_p1.btor2,1.137,unsat
vis_arrays_am2910_p2.btor2,0.32,unsat
vis_arrays_am2910_p3.btor2,1.32,unsat
vis_arrays_buf_bug.btor2,5.495,sat
vis_arrays_bufferAlloc.btor2,298.765,
