index,btor_time,status
arbitrated_top_n2_w128_d32_e0.btor2,298.92,
arbitrated_top_n2_w128_d64_e0.btor2,298.212,
arbitrated_top_n2_w64_d64_e0.btor2,299.081,
arbitrated_top_n2_w8_d128_e0.btor2,298.866,
arbitrated_top_n2_w8_d16_e0.btor2,22.859,sat
arbitrated_top_n2_w8_d32_e0.btor2,298.04200000000003,
arbitrated_top_n2_w8_d64_e0.btor2,299.156,
arbitrated_top_n3_w16_d128_e0.btor2,299.052,
arbitrated_top_n3_w16_d32_e0.btor2,298.877,
arbitrated_top_n3_w32_d16_e0.btor2,25.991,sat
arbitrated_top_n3_w64_d128_e0.btor2,298.217,
arbitrated_top_n3_w64_d64_e0.btor2,298.345,
arbitrated_top_n3_w8_d128_e0.btor2,298.856,
arbitrated_top_n3_w8_d16_e0.btor2,37.36,sat
arbitrated_top_n4_w128_d16_e0.btor2,63.342,sat
arbitrated_top_n4_w128_d64_e0.btor2,298.767,
arbitrated_top_n4_w16_d16_e0.btor2,26.591,sat
arbitrated_top_n4_w16_d32_e0.btor2,298.739,
arbitrated_top_n4_w16_d64_e0.btor2,299.113,
arbitrated_top_n4_w32_d32_e0.btor2,299.416,
arbitrated_top_n4_w64_d32_e0.btor2,298.358,
arbitrated_top_n4_w8_d64_e0.btor2,299.137,
arbitrated_top_n5_w128_d64_e0.btor2,298.287,
arbitrated_top_n5_w128_d8_e0.btor2,3.88,sat
arbitrated_top_n5_w32_d32_e0.btor2,298.902,
arbitrated_top_n5_w64_d16_e0.btor2,86.402,sat
arbitrated_top_n5_w8_d32_e0.btor2,299.384,
buggy_ridecore.btor,94.31,sat
circular_pointer_top_w128_d128_e0.btor2,298.18399999999997,
circular_pointer_top_w128_d64_e0.btor2,298.661,
circular_pointer_top_w128_d8_e0.btor2,29.057,sat
circular_pointer_top_w16_d128_e0.btor2,299.367,
circular_pointer_top_w16_d32_e0.btor2,299.429,
circular_pointer_top_w16_d64_e0.btor2,299.6,
circular_pointer_top_w32_d16_e0.btor2,99.07,sat
circular_pointer_top_w32_d32_e0.btor2,298.637,
circular_pointer_top_w64_d128_e0.btor2,299.383,
circular_pointer_top_w64_d8_e0.btor2,8.713,sat
circular_pointer_top_w8_d16_e0.btor2,81.839,sat
intersymbol_analog_estimation_convergence.btor,50.724,unsat
ridecore.btor,298.399,
shift_register_top_w128_d16_e0.btor2,299.16700000000003,
shift_register_top_w128_d64_e0.btor2,299.177,
shift_register_top_w16_d128_e0.btor2,299.356,
shift_register_top_w16_d16_e0.btor2,299.112,
shift_register_top_w16_d32_e0.btor2,298.134,
shift_register_top_w16_d64_e0.btor2,299.157,
shift_register_top_w16_d8_e0.btor2,8.577,sat
shift_register_top_w32_d128_e0.btor2,298.967,
shift_register_top_w32_d16_e0.btor2,299.411,
shift_register_top_w32_d8_e0.btor2,19.714,sat
shift_register_top_w64_d8_e0.btor2,68.786,sat
shift_register_top_w8_d128_e0.btor2,298.987,
