index,btor_time,status
VexRiscv-regch0-15-p0.btor,18.652,unsat
VexRiscv-regch0-20-p0.btor,0.007,unsat
VexRiscv-regch0-30-p1.btor,0.0,unsat
picorv32-check-p05.btor,8.579,unsat
picorv32-check-p09.btor,8.825,unsat
picorv32-check-p12.btor,8.302,unsat
picorv32-check-p19.btor,6.56,unsat
picorv32-check-p20.btor,12.928,unsat
picorv32-check-p22.btor,8.467,unsat
picorv32-pcregs-p0.btor,129.249,unsat
picorv32-pcregs-p2.btor,135.85,unsat
ponylink-slaveTXlen-unsat.btor,1.181,unsat
zipcpu-busdelay-p00.btor,2.445,unsat
zipcpu-busdelay-p15.btor,4.629,unsat
zipcpu-busdelay-p30.btor,2.589,unsat
zipcpu-busdelay-p36.btor,2.929,unsat
zipcpu-busdelay-p43.btor,0.666,unsat
zipcpu-busdelay-p46.btor,2.492,unsat
zipcpu-busdelay-p47.btor,0.686,unsat
zipcpu-pfcache-p01.btor,1.512,unsat
zipcpu-pfcache-p02.btor,1.561,unsat
zipcpu-pfcache-p13.btor,2.834,unsat
zipcpu-pfcache-p20.btor,1.912,unsat
zipcpu-pfcache-p22.btor,1.577,unsat
zipcpu-pfcache-p24.btor,1.473,unsat
zipcpu-pfcache-p27.btor,2.122,unsat
zipcpu-pfcache-p28.btor,2.814,unsat
zipcpu-zipmmu-p00.btor,3.612,unsat
zipcpu-zipmmu-p02.btor,2.584,unsat
zipcpu-zipmmu-p09.btor,4.522,unsat
zipcpu-zipmmu-p14.btor,2.027,unsat
zipcpu-zipmmu-p26.btor,7.578,unsat
zipcpu-zipmmu-p31.btor,5.618,unsat
zipcpu-zipmmu-p33.btor,5.628,unsat
zipcpu-zipmmu-p39.btor,2.533,unsat
zipcpu-zipmmu-p48.btor,3.891,unsat
