index,btor_time,status
dspfilters_fastfir_second-p04.btor,52.071,unsat
dspfilters_fastfir_second-p05.btor,17.566,unsat
dspfilters_fastfir_second-p06.btor,18.445,unsat
dspfilters_fastfir_second-p07.btor,73.825,unsat
dspfilters_fastfir_second-p09.btor,0.002,
dspfilters_fastfir_second-p10.btor,203.427,unsat
dspfilters_fastfir_second-p11.btor,17.837,unsat
dspfilters_fastfir_second-p14.btor,299.09000000000003,unknown
dspfilters_fastfir_second-p16.btor,17.189,unsat
dspfilters_fastfir_second-p18.btor,18.057,unsat
dspfilters_fastfir_second-p21.btor,13.793,unsat
dspfilters_fastfir_second-p22.btor,263.53,unsat
dspfilters_fastfir_second-p25.btor,17.424,unsat
dspfilters_fastfir_second-p26.btor,298.915,unknown
dspfilters_fastfir_second-p42.btor,15.927,unsat
dspfilters_fastfir_second-p43.btor,299.05899999999997,unknown
dspfilters_fastfir_second-p45.btor,298.914,unknown
qspiflash_dualflexpress_divfive-p007.btor,2.837,unsat
qspiflash_dualflexpress_divfive-p009.btor,2.681,unsat
qspiflash_dualflexpress_divfive-p016.btor,1.537,unsat
qspiflash_dualflexpress_divfive-p022.btor,1.416,unsat
qspiflash_dualflexpress_divfive-p037.btor,1.617,unsat
qspiflash_dualflexpress_divfive-p050.btor,1.473,unsat
qspiflash_dualflexpress_divfive-p054.btor,1.505,unsat
qspiflash_dualflexpress_divfive-p058.btor,2.277,unsat
qspiflash_dualflexpress_divfive-p074.btor,3.012,unsat
qspiflash_dualflexpress_divfive-p079.btor,1.856,unsat
qspiflash_dualflexpress_divfive-p092.btor,2.133,unsat
qspiflash_dualflexpress_divfive-p097.btor,1.545,unsat
qspiflash_dualflexpress_divfive-p112.btor,1.308,unsat
qspiflash_dualflexpress_divfive-p116.btor,0.905,unsat
qspiflash_dualflexpress_divfive-p120.btor,1.434,unsat
qspiflash_dualflexpress_divfive-p126.btor,0.949,unsat
qspiflash_dualflexpress_divfive-p127.btor,0.048,unsat
qspiflash_dualflexpress_divfive-p128.btor,1.348,unsat
qspiflash_dualflexpress_divfive-p133.btor,1.435,unsat
qspiflash_dualflexpress_divfive-p135.btor,1.406,unsat
qspiflash_dualflexpress_divfive-p136.btor,1.329,unsat
qspiflash_dualflexpress_divfive-p143.btor,1.892,unsat
qspiflash_dualflexpress_divfive-p154.btor,1.396,unsat
qspiflash_dualflexpress_divfive-p161.btor,0.063,unsat
qspiflash_dualflexpress_divfive-p164.btor,1.512,unsat
qspiflash_dualflexpress_divthree-p005.btor,4.516,unsat
qspiflash_dualflexpress_divthree-p006.btor,2.64,unsat
qspiflash_dualflexpress_divthree-p007.btor,3.161,unsat
qspiflash_dualflexpress_divthree-p010.btor,2.162,unsat
qspiflash_dualflexpress_divthree-p012.btor,2.033,unsat
