index,btor_time,status
arbitrated_top_n2_w128_d32_e0.btor2,60.969,unsat
arbitrated_top_n2_w128_d64_e0.btor2,74.879,unsat
arbitrated_top_n2_w64_d64_e0.btor2,58.611,unsat
arbitrated_top_n2_w8_d128_e0.btor2,50.596,unsat
arbitrated_top_n2_w8_d16_e0.btor2,4.88,sat
arbitrated_top_n2_w8_d32_e0.btor2,30.669,unsat
arbitrated_top_n2_w8_d64_e0.btor2,40.964,unsat
arbitrated_top_n3_w16_d128_e0.btor2,76.05199999999999,unsat
arbitrated_top_n3_w16_d32_e0.btor2,47.012,unsat
arbitrated_top_n3_w32_d16_e0.btor2,20.804,sat
arbitrated_top_n3_w64_d128_e0.btor2,80.702,unsat
arbitrated_top_n3_w64_d64_e0.btor2,59.132,unsat
arbitrated_top_n3_w8_d128_e0.btor2,56.474,unsat
arbitrated_top_n3_w8_d16_e0.btor2,7.13,sat
arbitrated_top_n4_w128_d16_e0.btor2,23.559,sat
arbitrated_top_n4_w128_d64_e0.btor2,124.379,unsat
arbitrated_top_n4_w16_d16_e0.btor2,18.532,sat
arbitrated_top_n4_w16_d32_e0.btor2,55.083,unsat
arbitrated_top_n4_w16_d64_e0.btor2,80.67699999999999,unsat
arbitrated_top_n4_w32_d32_e0.btor2,58.257,unsat
arbitrated_top_n4_w64_d32_e0.btor2,63.79,unsat
arbitrated_top_n4_w8_d64_e0.btor2,73.598,unsat
arbitrated_top_n5_w128_d64_e0.btor2,124.818,unsat
arbitrated_top_n5_w128_d8_e0.btor2,18.401,sat
arbitrated_top_n5_w32_d32_e0.btor2,60.078,unsat
arbitrated_top_n5_w64_d16_e0.btor2,30.691,sat
arbitrated_top_n5_w8_d32_e0.btor2,62.997,unsat
buggy_ridecore.btor,0.001,
circular_pointer_top_w128_d128_e0.btor2,296.745,unknown
circular_pointer_top_w128_d64_e0.btor2,298.484,unknown
circular_pointer_top_w128_d8_e0.btor2,36.511,sat
circular_pointer_top_w16_d128_e0.btor2,78.497,unsat
circular_pointer_top_w16_d32_e0.btor2,54.345,unsat
circular_pointer_top_w16_d64_e0.btor2,83.936,unsat
circular_pointer_top_w32_d16_e0.btor2,113.07300000000001,sat
circular_pointer_top_w32_d32_e0.btor2,128.153,unsat
circular_pointer_top_w64_d128_e0.btor2,297.044,unsat
circular_pointer_top_w64_d8_e0.btor2,13.912,sat
circular_pointer_top_w8_d16_e0.btor2,25.096,sat
intersymbol_analog_estimation_convergence.btor,20.494,unsat
ridecore.btor,0.003,
shift_register_top_w128_d16_e0.btor2,299.37,unknown
shift_register_top_w128_d64_e0.btor2,299.265,unknown
shift_register_top_w16_d128_e0.btor2,94.678,unsat
shift_register_top_w16_d16_e0.btor2,85.602,unsat
shift_register_top_w16_d32_e0.btor2,108.17099999999999,unsat
shift_register_top_w16_d64_e0.btor2,94.286,unsat
shift_register_top_w16_d8_e0.btor2,7.857,sat
shift_register_top_w32_d128_e0.btor2,179.549,unsat
shift_register_top_w32_d16_e0.btor2,193.158,unsat
shift_register_top_w32_d8_e0.btor2,12.618,sat
shift_register_top_w64_d8_e0.btor2,7.043,sat
shift_register_top_w8_d128_e0.btor2,37.133,unsat
