base,Cpu,Mem,BMC,seahorn_total,Result
zipcpu-busdelay-p47.btor,8.67,417,0.28,0.71,TRUE
zipcpu-busdelay-p43.btor,9.66,419,0.30,0.79,TRUE
zipcpu-busdelay-p30.btor,9.78,415,1.51,1.92,TRUE
zipcpu-busdelay-p00.btor,12.11,416,3.15,3.57,TRUE
zipcpu-busdelay-p15.btor,12.43,446,2.17,2.73,TRUE
zipcpu-busdelay-p36.btor,14.14,423,5.38,5.82,TRUE
VexRiscv-regch0-30-p1.btor,17.06,358,0.02,0.08,TRUE
VexRiscv-regch0-20-p0.btor,17.75,358,0.03,0.12,TRUE
zipcpu-busdelay-p46.btor,10.17,416,1.72,2.15,TRUE
zipcpu-pfcache-p02.btor,22.07,456,0.21,0.67,TRUE
zipcpu-pfcache-p20.btor,22.10,464,0.24,0.77,TRUE
zipcpu-pfcache-p01.btor,22.43,456,0.36,1.12,TRUE
zipcpu-pfcache-p22.btor,22.66,459,0.37,1.13,TRUE
zipcpu-pfcache-p24.btor,23.45,457,0.37,1.14,TRUE
zipcpu-zipmmu-p09.btor,23.68,512,1.34,2.19,TRUE
zipcpu-zipmmu-p14.btor,23.83,502,0.68,1.22,TRUE
zipcpu-pfcache-p27.btor,24.25,473,0.27,0.93,TRUE
zipcpu-zipmmu-p02.btor,24.88,508,1.56,2.40,TRUE
zipcpu-zipmmu-p33.btor,25.45,508,1.80,2.71,TRUE
zipcpu-zipmmu-p39.btor,25.78,550,1.32,2.26,TRUE
zipcpu-zipmmu-p26.btor,27.65,524,2.98,3.67,TRUE
zipcpu-zipmmu-p00.btor,27.68,509,2.62,3.40,TRUE
zipcpu-zipmmu-p48.btor,19.78,504,1.25,1.76,TRUE
zipcpu-zipmmu-p31.btor,32.93,555,6.98,7.67,TRUE
zipcpu-pfcache-p13.btor,33.14,829,0.69,1.30,TRUE
zipcpu-pfcache-p28.btor,30.82,889,0.97,1.62,TRUE
VexRiscv-regch0-15-p0.btor,87.21,1446,39.51,40.81,TRUE
picorv32-check-p20.btor,98.15,7237,51.36,53.06,TRUE
picorv32-check-p09.btor,113.13,7625,65.54,67.95,TRUE
ponylink-slaveTXlen-unsat.btor,116.57,1532,3.67,5.44,TRUE
picorv32-check-p22.btor,126.24,7848,83.98,86.33,TRUE
picorv32-check-p12.btor,151.40,13240,104.54,107.24,TRUE
picorv32-check-p05.btor,157.80,13442,110.20,112.95,TRUE
picorv32-check-p19.btor,207.16,14318,157.67,160.98,TRUE
picorv32-pcregs-p0.btor,51.77,386,,,
picorv32-pcregs-p2.btor,51.92,389,,,
