base,Cpu,Mem,BMC,seahorn_total,Result
picorv32_mutBY_nomem-p3.btor,165.91,612,,,
picorv32_mutAY_nomem-p4.btor,157.73,615,,,
picorv32_mutAY_nomem-p6.btor,153.12,615,,,
picorv32_mutCY_nomem-p0.btor,169.20,613,,,
picorv32_mutBY_nomem-p1.btor,186.51,610,,,
picorv32_mutBY_nomem-p7.btor,149.35,610,,,
picorv32_mutCY_nomem-p3.btor,149.93,610,,,
picorv32_mutAY_nomem-p1.btor,153.76,613,,,
picorv32_mutBY_nomem-p4.btor,148.32,616,,,
picorv32_mutBY_nomem-p6.btor,141.54,612,,,
picorv32_mutCX_nomem-p8.btor,267.51,826,,,
picorv32_mutAX_nomem-p0.btor,232.17,826,,,
picorv32_mutAX_nomem-p2.btor,48.07,424,,,
picorv32_mutBX_nomem-p0.btor,237.94,830,,,
picorv32_mutBX_nomem-p8.btor,232.08,827,,,
picorv32_mutAX_nomem-p5.btor,296.01,825,,,
picorv32_mutBX_nomem-p5.btor,262.35,826,,,
picorv32_mutCX_nomem-p0.btor,245.33,826,,,
