base,Cpu,Mem,BMC,seahorn_total,Result
qspiflash_dualflexpress_divfive-p143.btor,19.76,491,0.82,1.69,TRUE
qspiflash_qflexpress_divfive-p063.btor,20.48,385,0.17,0.96,TRUE
qspiflash_dualflexpress_divfive-p161.btor,21.08,419,0.20,1.02,TRUE
qspiflash_qflexpress_divfive-p107.btor,21.45,486,0.40,1.21,TRUE
qspiflash_qflexpress_divfive-p094.btor,21.99,489,0.45,1.28,TRUE
qspiflash_dualflexpress_divfive-p154.btor,22.17,489,0.51,1.37,TRUE
qspiflash_dualflexpress_divthree-p006.btor,22.44,490,0.93,1.79,TRUE
qspiflash_qflexpress_divfive-p104.btor,22.55,489,0.77,1.63,TRUE
qspiflash_qflexpress_divfive-p079.btor,22.78,492,0.84,1.70,TRUE
qspiflash_dualflexpress_divthree-p032.btor,23.20,493,0.78,1.64,TRUE
qspiflash_dualflexpress_divthree-p034.btor,23.13,492,0.76,1.60,TRUE
qspiflash_qflexpress_divfive-p064.btor,23.23,488,0.87,1.71,TRUE
qspiflash_dualflexpress_divfive-p164.btor,23.32,493,0.70,1.56,TRUE
qspiflash_dualflexpress_divthree-p005.btor,23.24,491,1.78,2.64,TRUE
qspiflash_qflexpress_divfive-p100.btor,23.75,490,0.74,1.63,TRUE
qspiflash_dualflexpress_divthree-p007.btor,23.90,491,1.59,2.47,TRUE
qspiflash_dualflexpress_divthree-p010.btor,24.34,493,1.36,2.27,TRUE
qspiflash_dualflexpress_divthree-p012.btor,24.43,491,1.49,2.34,TRUE
qspiflash_qflexpress_divfive-p067.btor,25.60,495,0.96,1.92,TRUE
qspiflash_qflexpress_divfive-p113.btor,26.49,493,0.98,1.95,TRUE
qspiflash_qflexpress_divfive-p075.btor,38.10,621,1.59,2.99,TRUE
qspiflash_qflexpress_divfive-p121.btor,23.79,489,0.77,1.59,TRUE
qspiflash_dualflexpress_divthree-p068.btor,21.79,422,0.20,0.97,TRUE
qspiflash_qflexpress_divfive-p137.btor,22.28,487,0.44,1.23,TRUE
qspiflash_qflexpress_divfive-p122.btor,23.15,486,0.77,1.55,TRUE
qspiflash_dualflexpress_divthree-p046.btor,23.77,493,0.94,1.85,TRUE
qspiflash_dualflexpress_divthree-p054.btor,23.46,492,0.52,1.40,TRUE
qspiflash_qflexpress_divfive-p139.btor,22.45,488,0.42,1.21,TRUE
vgasim_imgfifo-p036.btor,22.99,548,0.64,1.96,TRUE
qspiflash_dualflexpress_divthree-p069.btor,23.09,492,0.54,1.43,TRUE
vgasim_imgfifo-p047.btor,23.37,546,0.64,1.90,TRUE
qspiflash_dualflexpress_divthree-p075.btor,23.71,495,0.77,1.66,TRUE
vgasim_imgfifo-p064.btor,23.29,549,0.64,1.99,TRUE
qspiflash_dualflexpress_divthree-p076.btor,24.89,497,0.98,1.96,TRUE
qspiflash_dualflexpress_divfive-p007.btor,23.52,489,1.36,2.23,TRUE
qspiflash_dualflexpress_divthree-p085.btor,25.21,495,1.05,2.02,TRUE
qspiflash_dualflexpress_divfive-p016.btor,22.21,491,0.75,1.58,TRUE
vgasim_imgfifo-p066.btor,23.60,550,0.58,1.99,TRUE
vgasim_imgfifo-p070.btor,24.02,550,1.08,2.47,TRUE
qspiflash_dualflexpress_divfive-p009.btor,24.39,494,2.25,3.15,TRUE
qspiflash_dualflexpress_divthree-p094.btor,24.52,494,0.83,1.75,TRUE
vgasim_imgfifo-p075.btor,23.76,549,0.68,2.07,TRUE
qspiflash_dualflexpress_divfive-p022.btor,23.58,491,0.86,1.72,TRUE
qspiflash_dualflexpress_divthree-p113.btor,21.31,420,0.21,1.01,TRUE
qspiflash_dualflexpress_divfive-p037.btor,22.86,490,0.79,1.62,TRUE
qspiflash_dualflexpress_divthree-p111.btor,24.45,533,0.97,1.93,TRUE
vgasim_imgfifo-p082.btor,23.99,549,1.07,2.44,TRUE
vgasim_imgfifo-p088.btor,22.17,428,0.22,1.56,TRUE
qspiflash_dualflexpress_divfive-p050.btor,22.28,489,0.47,1.33,TRUE
qspiflash_dualflexpress_divthree-p106.btor,28.20,536,1.16,2.20,TRUE
qspiflash_dualflexpress_divthree-p121.btor,23.36,494,0.74,1.63,TRUE
qspiflash_dualflexpress_divfive-p054.btor,23.06,492,0.49,1.36,TRUE
vgasim_imgfifo-p089.btor,24.00,550,1.15,2.53,TRUE
vgasim_imgfifo-p093.btor,22.94,548,0.59,1.99,TRUE
qspiflash_dualflexpress_divthree-p124.btor,23.35,493,0.54,1.45,TRUE
qspiflash_dualflexpress_divthree-p134.btor,22.70,491,0.52,1.35,TRUE
qspiflash_dualflexpress_divfive-p058.btor,23.44,491,0.85,1.70,TRUE
qspiflash_dualflexpress_divfive-p074.btor,22.79,490,0.76,1.61,TRUE
vgasim_imgfifo-p099.btor,23.70,551,0.72,2.12,TRUE
qspiflash_dualflexpress_divthree-p136.btor,23.57,493,0.72,1.60,TRUE
qspiflash_dualflexpress_divfive-p079.btor,22.94,490,0.74,1.62,TRUE
vgasim_imgfifo-p105.btor,23.71,550,0.63,2.02,TRUE
vgasim_imgfifo-p109.btor,22.81,429,0.22,1.55,TRUE
qspiflash_dualflexpress_divthree-p141.btor,23.70,493,0.67,1.55,TRUE
qspiflash_dualflexpress_divfive-p092.btor,23.24,491,0.72,1.47,TRUE
