base,Cpu,Mem,BMC,seahorn_total,Result
paper_v3.btor2,0.86,351,0.02,0.05,TRUE
miim.btor2,8.87,418,0.21,0.64,TRUE
cal162.btor2,24.50,358,0.03,0.59,TRUE
cal81.btor2,29.54,357,0.03,0.73,TRUE
h_TreeArb.btor2,30.01,570,1.79,2.75,TRUE
vcegar_QF_BV_ar.btor2,0.79,351,0.03,0.04,TRUE
gen10.btor2,8.20,749,0.52,0.81,TRUE
gen12.btor2,9.97,759,0.44,0.96,TRUE
vcegar_QF_BV_itc99_b13_p10.btor2,0.66,297,,0.01,
cal21.btor2,69.54,540,53.74,54.61,TRUE
cal41.btor2,87.78,608,59.06,60.72,TRUE
gen14.btor2,9.93,759,0.51,1.00,TRUE
vcegar_arrays_itc99_b12_p2.btor2,53.66,861,1.92,3.85,TRUE
mul1.btor2,1.29,314,,,
mul2.btor2,1.32,315,,,
cal2.btor2,9.81,325,,,
mul3.btor2,1.31,314,,,
mul7.btor2,1.62,316,,,
mul9.btor2,2.36,315,,,
cal84.btor2,138.76,576,,,
cal87.btor2,150.10,586,,,
cal102.btor2,148.74,597,,,
cal107.btor2,149.27,592,,,
cal106.btor2,149.27,593,,,
cal86.btor2,154.86,589,,,
cal112.btor2,153.07,595,,,
cal90.btor2,148.45,589,,,
cal119.btor2,146.46,596,,,
cal118.btor2,145.82,591,,,
cal122.btor2,146.40,599,,,
cal117.btor2,143.22,594,,,
cal99.btor2,144.84,590,,,
cal97.btor2,151.53,590,,,
cal192.btor2,240.82,790,,,
cal201.btor2,232.02,784,,,
cal176.btor2,232.63,598,,,
cal209.btor2,231.48,781,,,
cal206.btor2,234.00,778,,,
cal123.btor2,142.39,584,,,
vis_arrays_am2910_p2.btor2,3.78,404,0.09,0.22,TRUE
gen21.btor2,6.63,748,0.38,0.63,TRUE
cal210.btor2,236.42,783,,,
gen39.btor2,10.39,759,1.29,1.80,TRUE
vis_arrays_am2910_p3.btor2,19.53,496,0.72,1.67,TRUE
vis_arrays_am2910_p1.btor2,19.65,496,0.78,1.73,TRUE
cal159.btor2,21.61,358,0.04,0.60,TRUE
cal161.btor2,23.33,358,0.03,0.59,TRUE
cal125.btor2,146.63,589,,,
gen35.btor2,30.41,820,24.28,24.52,TRUE
cal220.btor2,83.44,509,,,
vis_arrays_buf_bug.btor2,32.73,460,23.43,23.82,FALSE
vis_arrays_bufferAlloc.btor2,33.81,457,25.01,25.34,TRUE
cal129.btor2,149.64,589,,,
h_RCU.btor2,48.00,972,1.76,4.17,TRUE
cal224.btor2,106.73,561,,,
cal4.btor2,136.37,634,112.74,114.25,TRUE
cal140.btor2,151.65,589,,,
cal35.btor2,261.40,876,220.98,222.55,TRUE
vis_arrays_am2901.btor2,20.36,343,,,
gen31.btor2,21.11,372,,,
gen43.btor2,4.93,317,,,
cal142.btor2,98.34,594,,,
cal34.btor2,33.13,373,,,
cal33.btor2,17.68,349,,,
cal37.btor2,39.20,422,,,
gen44.btor2,4.57,319,,,
cal143.btor2,101.28,587,,,
cal149.btor2,104.05,590,,,
cal227.btor2,196.06,786,,,
cal156.btor2,151.67,789,,,
cal234.btor2,212.11,841,,,
