base,Cpu,Mem,BMC,seahorn_total,Result
shift_register_top_w16_d8_e0.btor2,26.35,497,20.79,21.03,FALSE
arbitrated_top_n3_w8_d16_e0.btor2,36.77,722,17.47,18.42,FALSE
circular_pointer_top_w128_d8_e0.btor2,42.22,954,36.86,37.13,FALSE
arbitrated_top_n2_w8_d16_e0.btor2,51.31,525,37.36,38.06,FALSE
arbitrated_top_n4_w16_d16_e0.btor2,76.94,1096,49.84,51.31,FALSE
arbitrated_top_n2_w8_d32_e0.btor2,81.46,740,61.30,62.43,TRUE
arbitrated_top_n3_w32_d16_e0.btor2,28.32,1410,4.31,5.70,FALSE
arbitrated_top_n5_w8_d32_e0.btor2,128.64,1267,81.67,84.01,TRUE
arbitrated_top_n2_w8_d64_e0.btor2,131.60,1123,98.40,100.28,TRUE
arbitrated_top_n4_w16_d32_e0.btor2,132.49,1817,93.15,95.31,TRUE
shift_register_top_w32_d8_e0.btor2,87.90,569,81.98,82.21,FALSE
arbitrated_top_n2_w64_d64_e0.btor2,141.99,7018,102.41,104.93,TRUE
circular_pointer_top_w16_d32_e0.btor2,155.96,672,145.92,146.47,TRUE
arbitrated_top_n4_w32_d32_e0.btor2,156.09,3860,111.55,114.29,TRUE
arbitrated_top_n2_w8_d128_e0.btor2,158.32,1937,99.02,102.31,TRUE
arbitrated_top_n3_w16_d32_e0.btor2,132.75,1429,102.12,103.80,TRUE
arbitrated_top_n4_w16_d64_e0.btor2,177.41,3946,113.00,116.63,TRUE
circular_pointer_top_w32_d16_e0.btor2,188.10,680,181.16,181.52,FALSE
circular_pointer_top_w64_d8_e0.btor2,54.47,697,48.87,49.13,FALSE
arbitrated_top_n4_w8_d64_e0.btor2,156.67,1951,94.71,98.16,TRUE
intersymbol_analog_estimation_convergence.btor,11.83,721,6.73,6.99,TRUE
arbitrated_top_n5_w128_d8_e0.btor2,77.16,4106,16.40,20.89,FALSE
arbitrated_top_n3_w16_d128_e0.btor2,211.22,4364,124.55,129.42,TRUE
circular_pointer_top_w16_d64_e0.btor2,217.04,858,200.78,201.67,TRUE
arbitrated_top_n2_w128_d32_e0.btor2,215.86,7014,179.71,182.29,TRUE
circular_pointer_top_w8_d16_e0.btor2,60.93,499,53.89,54.23,FALSE
circular_pointer_top_w16_d128_e0.btor2,223.17,1386,194.90,196.49,TRUE
arbitrated_top_n5_w64_d16_e0.btor2,61.65,4013,15.69,18.70,FALSE
shift_register_top_w16_d64_e0.btor2,247.71,597,234.83,235.16,TRUE
arbitrated_top_n4_w64_d32_e0.btor2,249.05,7059,198.21,201.48,TRUE
shift_register_top_w16_d32_e0.btor2,251.60,580,241.35,241.67,TRUE
shift_register_top_w64_d8_e0.btor2,149.96,682,144.33,144.57,FALSE
shift_register_top_w16_d16_e0.btor2,284.29,576,276.12,276.41,TRUE
arbitrated_top_n4_w128_d16_e0.btor2,291.47,7119,235.96,240.04,FALSE
shift_register_top_w128_d64_e0.btor2,12.70,335,,,
circular_pointer_top_w128_d64_e0.btor2,15.19,339,,,
circular_pointer_top_w128_d128_e0.btor2,26.82,369,,,
arbitrated_top_n2_w128_d64_e0.btor2,45.27,422,,,
shift_register_top_w16_d128_e0.btor2,18.01,347,,,
shift_register_top_w32_d16_e0.btor2,7.94,318,,,
shift_register_top_w32_d128_e0.btor2,17.85,346,,,
arbitrated_top_n4_w128_d64_e0.btor2,88.00,543,,,
shift_register_top_w8_d128_e0.btor2,163.08,558,144.88,145.23,TRUE
arbitrated_top_n5_w32_d32_e0.btor2,152.12,4029,97.81,101.11,TRUE
arbitrated_top_n3_w8_d128_e0.btor2,157.58,2672,76.71,81.41,TRUE
circular_pointer_top_w32_d32_e0.btor2,9.08,324,,,
arbitrated_top_n3_w64_d64_e0.btor2,197.56,12759,139.97,143.47,TRUE
arbitrated_top_n5_w128_d64_e0.btor2,106.42,573,,,
circular_pointer_top_w64_d128_e0.btor2,26.56,369,,,
arbitrated_top_n3_w64_d128_e0.btor2,279.95,24872,187.00,192.62,TRUE
shift_register_top_w128_d16_e0.btor2,8.04,317,,,
ridecore.btor,105.53,402,,,
buggy_ridecore.btor,80.68,402,,,
