base,Cpu,Mem,BMC,seahorn_total,Result
zipcpu-busdelay-p47.btor,9.18,382,0.33,0.76,
zipcpu-busdelay-p30.btor,9.10,380,0.32,0.77,
zipcpu-busdelay-p36.btor,9.63,384,0.36,0.80,
zipcpu-busdelay-p00.btor,10.01,385,0.34,0.78,
zipcpu-busdelay-p43.btor,10.27,385,0.38,0.87,
zipcpu-busdelay-p15.btor,11.25,392,0.37,0.87,
zipcpu-busdelay-p46.btor,9.25,382,0.32,0.75,
VexRiscv-regch0-30-p1.btor,20.39,358,0.02,0.10,
VexRiscv-regch0-20-p0.btor,20.57,358,0.02,0.11,
zipcpu-pfcache-p22.btor,22.22,409,0.39,1.15,
zipcpu-zipmmu-p09.btor,23.57,506,0.90,1.85,
zipcpu-pfcache-p02.btor,23.70,408,0.61,1.09,
zipcpu-pfcache-p27.btor,24.08,412,0.55,1.26,
zipcpu-pfcache-p01.btor,24.16,410,0.65,1.42,
zipcpu-pfcache-p20.btor,24.20,411,0.40,0.98,
zipcpu-zipmmu-p02.btor,24.43,505,0.52,1.28,
zipcpu-pfcache-p24.btor,24.73,411,0.65,1.42,
zipcpu-zipmmu-p14.btor,24.74,506,0.54,1.42,
zipcpu-zipmmu-p33.btor,24.80,508,0.53,1.38,
zipcpu-zipmmu-p39.btor,25.66,504,0.55,1.10,
zipcpu-zipmmu-p00.btor,25.90,508,0.54,1.14,
zipcpu-zipmmu-p26.btor,26.14,506,0.52,1.04,
zipcpu-zipmmu-p31.btor,26.36,507,0.52,1.05,
zipcpu-zipmmu-p48.btor,19.50,503,0.51,1.02,
zipcpu-pfcache-p13.btor,35.21,513,0.62,1.22,
zipcpu-pfcache-p28.btor,31.78,516,0.68,1.33,
VexRiscv-regch0-15-p0.btor,50.25,791,1.82,3.07,
picorv32-pcregs-p0.btor,58.57,885,2.41,3.65,
picorv32-pcregs-p2.btor,60.37,924,3.11,4.42,
picorv32-check-p20.btor,86.56,4099,37.52,39.24,
picorv32-check-p09.btor,97.92,4144,50.83,53.01,
ponylink-slaveTXlen-unsat.btor,119.99,1374,3.73,5.36,
picorv32-check-p22.btor,115.45,4274,70.92,73.51,
picorv32-check-p05.btor,130.97,7910,84.26,86.76,
picorv32-check-p12.btor,132.74,7678,84.10,86.34,
picorv32-check-p19.btor,179.66,7908,128.73,131.78,
