base,Cpu,Mem,BMC,seahorn_total,Result
picorv32_mutBY_nomem-p3.btor,188.62,615,,,
picorv32_mutAY_nomem-p1.btor,157.32,614,,,
picorv32_mutBY_nomem-p1.btor,158.00,612,,,
picorv32_mutAY_nomem-p6.btor,154.39,613,,,
picorv32_mutCY_nomem-p3.btor,176.79,614,,,
picorv32_mutBY_nomem-p7.btor,154.83,611,,,
picorv32_mutCY_nomem-p0.btor,204.10,610,,,
picorv32_mutAY_nomem-p4.btor,156.51,614,,,
picorv32_mutBY_nomem-p6.btor,149.28,609,,,
picorv32_mutAX_nomem-p0.btor,284.89,829,,,
picorv32_mutBX_nomem-p5.btor,243.69,825,,,
picorv32_mutBY_nomem-p4.btor,154.14,618,,,
picorv32_mutAX_nomem-p2.btor,243.88,828,,,
picorv32_mutCX_nomem-p8.btor,240.39,826,,,
picorv32_mutAX_nomem-p5.btor,296.98,829,,,
picorv32_mutBX_nomem-p8.btor,247.39,825,,,
picorv32_mutBX_nomem-p0.btor,53.72,423,,,
picorv32_mutCX_nomem-p0.btor,242.57,826,,,
