base,Cpu,Mem,BMC,seahorn_total,Result
qspiflash_dualflexpress_divfive-p143.btor,20.87,505,0.90,1.77,
qspiflash_qflexpress_divfive-p063.btor,22.17,502,0.79,1.57,
qspiflash_dualflexpress_divfive-p161.btor,22.97,507,0.86,1.68,
qspiflash_qflexpress_divfive-p107.btor,22.86,505,0.84,1.64,
qspiflash_dualflexpress_divfive-p154.btor,23.55,507,0.93,1.75,
qspiflash_dualflexpress_divthree-p005.btor,23.42,507,0.88,1.75,
qspiflash_dualflexpress_divthree-p006.btor,23.43,506,0.89,1.72,
qspiflash_qflexpress_divfive-p094.btor,23.58,505,0.91,1.79,
qspiflash_qflexpress_divfive-p079.btor,23.64,507,0.91,1.73,
qspiflash_qflexpress_divfive-p104.btor,24.01,505,0.92,1.80,
qspiflash_dualflexpress_divthree-p034.btor,24.23,507,0.95,1.79,
qspiflash_dualflexpress_divthree-p007.btor,24.34,507,0.92,1.83,
qspiflash_qflexpress_divfive-p064.btor,24.37,506,0.93,1.76,
qspiflash_dualflexpress_divfive-p164.btor,24.49,507,0.95,1.81,
qspiflash_dualflexpress_divthree-p032.btor,24.47,508,0.96,1.87,
qspiflash_dualflexpress_divthree-p010.btor,24.88,506,0.89,1.79,
qspiflash_dualflexpress_divthree-p012.btor,24.97,507,0.93,1.78,
qspiflash_qflexpress_divfive-p100.btor,25.10,506,0.96,1.86,
qspiflash_qflexpress_divfive-p067.btor,27.02,509,0.99,1.94,
qspiflash_qflexpress_divfive-p113.btor,27.47,509,1.02,1.97,
qspiflash_qflexpress_divfive-p075.btor,40.01,647,1.56,2.99,
qspiflash_qflexpress_divfive-p121.btor,24.99,506,0.86,1.69,
qspiflash_dualflexpress_divthree-p068.btor,23.41,504,0.86,1.67,
qspiflash_qflexpress_divfive-p122.btor,24.01,503,0.83,1.67,
qspiflash_qflexpress_divfive-p137.btor,23.69,506,0.87,1.66,
qspiflash_dualflexpress_divthree-p046.btor,24.51,507,0.94,1.87,
qspiflash_qflexpress_divfive-p139.btor,24.05,505,0.90,1.77,
qspiflash_dualflexpress_divthree-p054.btor,25.12,508,0.98,1.83,
qspiflash_dualflexpress_divthree-p069.btor,24.19,506,0.88,1.73,
vgasim_imgfifo-p036.btor,25.18,515,1.06,2.39,
qspiflash_dualflexpress_divthree-p075.btor,25.13,508,0.97,1.91,
vgasim_imgfifo-p047.btor,25.42,513,0.99,2.32,
qspiflash_dualflexpress_divthree-p076.btor,26.24,510,0.96,1.96,
qspiflash_dualflexpress_divfive-p007.btor,23.98,507,0.89,1.75,
vgasim_imgfifo-p064.btor,25.34,515,1.04,2.40,
qspiflash_dualflexpress_divthree-p085.btor,26.38,510,1.01,1.97,
qspiflash_dualflexpress_divfive-p016.btor,23.23,504,0.86,1.71,
qspiflash_dualflexpress_divfive-p009.btor,23.95,507,0.94,1.85,
vgasim_imgfifo-p066.btor,25.72,515,1.06,2.45,
qspiflash_dualflexpress_divthree-p094.btor,25.80,508,0.95,1.88,
vgasim_imgfifo-p070.btor,25.65,515,1.05,2.44,
qspiflash_dualflexpress_divfive-p022.btor,24.56,507,0.85,1.70,
qspiflash_dualflexpress_divfive-p037.btor,23.79,507,0.91,1.77,
vgasim_imgfifo-p075.btor,25.62,517,1.06,2.46,
qspiflash_dualflexpress_divthree-p113.btor,23.11,504,0.84,1.63,
qspiflash_dualflexpress_divthree-p111.btor,25.65,512,0.99,1.94,
vgasim_imgfifo-p082.btor,25.65,515,1.08,2.41,
qspiflash_dualflexpress_divfive-p050.btor,23.78,505,0.89,1.76,
vgasim_imgfifo-p088.btor,24.76,513,1.01,2.34,
qspiflash_dualflexpress_divthree-p106.btor,30.09,515,1.09,2.13,
qspiflash_dualflexpress_divthree-p121.btor,24.44,507,0.89,1.77,
qspiflash_dualflexpress_divfive-p054.btor,24.73,508,0.91,1.80,
vgasim_imgfifo-p089.btor,25.41,516,1.06,2.43,
qspiflash_dualflexpress_divthree-p124.btor,24.82,510,0.95,1.86,
qspiflash_dualflexpress_divthree-p134.btor,24.13,507,0.93,1.78,
qspiflash_dualflexpress_divfive-p058.btor,24.61,507,0.94,1.85,
vgasim_imgfifo-p093.btor,24.86,512,1.04,2.40,
qspiflash_dualflexpress_divfive-p074.btor,23.89,504,0.91,1.77,
qspiflash_dualflexpress_divfive-p079.btor,24.21,507,0.94,1.83,
qspiflash_dualflexpress_divthree-p136.btor,25.10,508,0.96,1.89,
vgasim_imgfifo-p099.btor,25.78,515,1.07,2.42,
qspiflash_dualflexpress_divthree-p141.btor,24.71,509,0.69,1.61,
vgasim_imgfifo-p105.btor,25.63,515,1.04,2.42,
vgasim_imgfifo-p109.btor,25.22,513,1.00,2.31,
qspiflash_dualflexpress_divfive-p092.btor,24.84,508,0.93,1.84,
qspiflash_dualflexpress_divthree-p143.btor,21.20,506,0.90,1.78,
qspiflash_dualflexpress_divthree-p151.btor,22.89,505,0.83,1.66,
vgasim_imgfifo-p110.btor,23.76,516,1.02,2.11,
qspiflash_dualflexpress_divfive-p097.btor,24.42,507,0.92,1.82,
qspiflash_dualflexpress_divthree-p153.btor,22.82,506,0.85,1.33,
vgasim_imgfifo-p111.btor,24.07,513,0.58,1.67,
qspiflash_dualflexpress_divfive-p112.btor,24.73,507,0.93,1.83,
zipversa_composecrc_prf-p00.btor,31.94,653,1.79,3.42,
dspfilters_fastfir_second-p16.btor,209.15,917,,,
dspfilters_fastfir_second-p10.btor,209.60,917,,,
dspfilters_fastfir_second-p09.btor,211.19,917,,,
dspfilters_fastfir_second-p07.btor,213.13,918,,,
dspfilters_fastfir_second-p06.btor,214.32,917,,,
dspfilters_fastfir_second-p11.btor,216.99,918,,,
dspfilters_fastfir_second-p14.btor,216.89,917,,,
dspfilters_fastfir_second-p04.btor,217.75,917,,,
dspfilters_fastfir_second-p21.btor,218.04,918,,,
dspfilters_fastfir_second-p18.btor,219.92,918,,,
dspfilters_fastfir_second-p42.btor,199.74,917,,,
dspfilters_fastfir_second-p45.btor,200.45,917,,,
dspfilters_fastfir_second-p05.btor,226.51,916,,,
dspfilters_fastfir_second-p25.btor,207.37,917,,,
dspfilters_fastfir_second-p22.btor,209.49,916,,,
dspfilters_fastfir_second-p26.btor,220.39,917,,,
dspfilters_fastfir_second-p43.btor,237.72,917,,,
qspiflash_dualflexpress_divfive-p126.btor,14.75,506,0.55,1.04,
qspiflash_qflexpress_divfive-p038.btor,14.85,505,0.86,1.69,
qspiflash_qflexpress_divfive-p048.btor,14.90,503,0.50,0.96,
qspiflash_qflexpress_divfive-p017.btor,14.91,505,0.77,1.54,
qspiflash_dualflexpress_divfive-p127.btor,16.23,506,0.50,0.96,
qspiflash_dualflexpress_divfive-p136.btor,16.37,507,0.55,1.05,
qspiflash_dualflexpress_divfive-p128.btor,17.05,507,0.90,1.78,
qspiflash_qflexpress_divfive-p036.btor,18.43,504,0.50,0.99,
qspiflash_dualflexpress_divthree-p164.btor,18.37,507,0.58,1.11,
qspiflash_dualflexpress_divthree-p161.btor,18.90,506,0.49,0.97,
qspiflash_dualflexpress_divthree-p158.btor,19.16,505,0.52,1.02,
qspiflash_dualflexpress_divfive-p120.btor,19.29,508,0.57,1.08,
qspiflash_dualflexpress_divfive-p116.btor,19.44,507,0.54,1.03,
qspiflash_dualflexpress_divfive-p133.btor,19.74,508,0.53,0.99,
qspiflash_dualflexpress_divfive-p135.btor,19.76,506,0.54,1.04,
qspiflash_qflexpress_divfive-p029.btor,19.77,505,0.52,1.00,
zipversa_composecrc_prf-p11.btor,20.50,655,1.19,2.15,
zipversa_composecrc_prf-p17.btor,20.75,654,1.09,2.03,
zipversa_composecrc_prf-p15.btor,23.81,655,1.05,1.88,
zipversa_composecrc_prf-p22.btor,23.81,655,1.06,1.91,
zipversa_composecrc_prf-p10.btor,24.94,697,1.17,2.13,
zipversa_composecrc_prf-p03.btor,25.55,657,1.11,2.02,
zipversa_composecrc_prf-p07.btor,26.17,661,0.98,1.95,
