base,Cpu,Mem,BMC,seahorn_total,Result
krebs.3.prop1-func-interl.btor2,3.68,352,0.01,0.07,
anderson.3.prop1-back-serstep.btor2,23.58,509,0.52,0.98,
frogs.5.prop1-func-interl.btor2,38.52,756,1.65,3.15,
mcs.3.prop1-back-serstep.btor2,71.01,667,1.23,2.30,
brp2.6.prop3-back-serstep.btor2,71.88,538,1.00,1.85,
brp2.3.prop1-back-serstep.btor2,72.10,537,0.98,1.84,
blocks.4.prop1-back-serstep.btor2,74.22,755,1.92,3.23,
at.6.prop1-back-serstep.btor2,88.28,763,1.76,3.17,
brp2.2.prop1-func-interl.btor2,104.53,511,0.56,1.09,
rushhour.4.prop1-func-interl.btor2,122.20,2796,7.74,12.43,
elevator.4.prop1-func-interl.btor2,131.42,525,0.69,1.37,
msmie.3.prop1-func-interl.btor2,25.28,359,,,
pgm_protocol.3.prop5-func-interl.btor2,22.87,359,,,
pgm_protocol.7.prop1-back-serstep.btor2,26.97,370,,,
peg_solitaire.3.prop1-back-serstep.btor2,23.60,368,,,
