base,Cpu,Mem,BMC,seahorn_total,Result
paper_v3.btor2,0.85,355,0.01,0.02,
mul1.btor2,1.51,360,0.06,0.12,
mul2.btor2,1.53,360,0.06,0.12,
mul3.btor2,1.59,359,0.06,0.13,
mul7.btor2,1.78,359,0.05,0.12,
vcegar_QF_BV_ar.btor2,0.80,354,0.01,0.02,
mul9.btor2,2.72,364,0.08,0.17,
miim.btor2,9.47,383,0.39,0.80,
gen10.btor2,8.20,379,0.31,0.61,
vcegar_QF_BV_itc99_b13_p10.btor2,0.68,297,,0.01,
cal2.btor2,11.12,382,0.33,0.78,
gen12.btor2,10.46,395,0.52,1.04,
cal21.btor2,17.83,507,0.93,1.83,
gen14.btor2,10.56,395,0.53,1.04,
cal162.btor2,26.63,358,0.03,0.58,
h_TreeArb.btor2,29.58,472,0.69,1.65,
cal41.btor2,31.60,647,1.71,3.32,
cal81.btor2,31.71,359,0.02,0.69,
gen21.btor2,6.98,376,0.24,0.49,
gen31.btor2,28.42,661,2.66,4.58,
vcegar_arrays_itc99_b12_p2.btor2,55.85,654,1.70,3.64,
vis_arrays_am2910_p1.btor2,22.24,508,1.12,2.04,
cal33.btor2,22.81,511,1.06,2.17,
gen35.btor2,6.52,375,0.24,0.46,
vis_arrays_am2910_p2.btor2,3.87,365,0.11,0.24,
cal84.btor2,162.61,1828,8.60,15.71,
cal119.btor2,171.51,1851,9.26,16.78,
cal122.btor2,171.67,1853,9.25,16.77,
cal118.btor2,171.74,1838,9.14,16.81,
cal87.btor2,173.27,1857,9.48,17.05,
cal123.btor2,172.15,1842,9.33,17.00,
cal117.btor2,173.62,1839,9.01,16.30,
cal99.btor2,174.28,1839,9.34,17.04,
cal125.btor2,173.43,1854,9.37,16.77,
cal107.btor2,177.46,1858,9.67,17.47,
cal106.btor2,177.77,1858,9.59,17.11,
cal102.btor2,178.18,1860,9.65,17.22,
cal90.btor2,177.87,1862,9.73,17.53,
cal97.btor2,178.79,1849,9.71,17.58,
cal112.btor2,179.41,1861,9.64,17.30,
gen43.btor2,5.42,373,0.23,0.43,
gen39.btor2,10.23,395,0.51,1.02,
gen44.btor2,5.34,372,0.21,0.42,
vis_arrays_buf_bug.btor2,10.10,387,0.41,0.77,
cal129.btor2,174.09,1854,9.17,16.68,
cal86.btor2,184.27,1865,9.59,17.55,
vis_arrays_bufferAlloc.btor2,9.58,386,0.40,0.74,
vis_arrays_am2910_p3.btor2,17.84,510,0.66,1.20,
cal140.btor2,176.82,1835,9.01,14.89,
cal159.btor2,23.25,358,0.02,0.55,
cal34.btor2,39.56,648,1.06,2.08,
cal4.btor2,24.65,646,1.56,3.06,
cal161.btor2,26.91,359,0.03,0.57,
cal142.btor2,177.37,1837,8.41,15.85,
cal35.btor2,38.59,985,1.77,3.32,
cal37.btor2,43.54,986,1.87,3.58,
h_RCU.btor2,44.70,788,1.74,3.26,
cal143.btor2,159.35,1840,5.46,9.78,
cal176.btor2,233.01,1818,5.05,9.09,
cal209.btor2,239.24,3154,8.58,14.94,
cal206.btor2,239.26,3154,8.52,14.90,
cal192.btor2,240.29,3162,8.73,15.25,
cal201.btor2,244.71,3151,8.35,14.59,
cal210.btor2,242.84,3155,8.42,14.66,
cal149.btor2,133.48,1838,5.27,9.35,
vis_arrays_am2901.btor2,265.23,6944,242.72,243.89,
cal220.btor2,292.31,829,,,
cal227.btor2,282.84,1972,12.07,17.89,
cal224.btor2,133.63,562,,,
cal234.btor2,299.59,3324,11.43,17.93,
cal156.btor2,161.01,3161,7.51,13.24,
