base,Cpu,Mem,BMC,seahorn_total,Result
circular_pointer_top_w128_d8_e0.btor2,5.90,375,0.28,0.54,
shift_register_top_w16_d8_e0.btor2,6.16,375,0.27,0.52,
circular_pointer_top_w32_d16_e0.btor2,7.69,382,0.39,0.73,
shift_register_top_w32_d16_e0.btor2,9.06,380,0.37,0.67,
shift_register_top_w16_d16_e0.btor2,9.08,379,0.36,0.67,
circular_pointer_top_w16_d32_e0.btor2,11.30,395,0.63,1.17,
shift_register_top_w16_d32_e0.btor2,11.44,381,0.39,0.71,
shift_register_top_w128_d64_e0.btor2,14.61,382,0.37,0.70,
shift_register_top_w16_d64_e0.btor2,14.69,380,0.38,0.72,
arbitrated_top_n2_w8_d16_e0.btor2,15.45,469,0.80,1.52,
shift_register_top_w32_d8_e0.btor2,6.20,375,0.28,0.54,
circular_pointer_top_w16_d64_e0.btor2,18.19,503,1.10,1.99,
circular_pointer_top_w128_d64_e0.btor2,18.40,504,1.11,2.00,
circular_pointer_top_w32_d32_e0.btor2,11.24,395,0.63,1.14,
shift_register_top_w64_d8_e0.btor2,6.19,376,0.27,0.51,
shift_register_top_w16_d128_e0.btor2,21.24,380,0.37,0.72,
shift_register_top_w32_d128_e0.btor2,21.17,380,0.39,0.73,
circular_pointer_top_w64_d8_e0.btor2,5.86,375,0.28,0.54,
arbitrated_top_n3_w8_d16_e0.btor2,22.02,509,1.28,2.30,
arbitrated_top_n2_w8_d32_e0.btor2,22.50,512,1.26,2.32,
intersymbol_analog_estimation_convergence.btor,5.43,379,0.27,0.54,
circular_pointer_top_w8_d16_e0.btor2,7.69,381,0.39,0.72,
shift_register_top_w128_d16_e0.btor2,9.08,379,0.36,0.67,
arbitrated_top_n4_w16_d16_e0.btor2,31.15,644,2.22,3.75,
circular_pointer_top_w16_d128_e0.btor2,31.97,645,1.89,3.33,
circular_pointer_top_w128_d128_e0.btor2,32.86,644,2.46,4.10,
arbitrated_top_n3_w32_d16_e0.btor2,26.72,640,1.92,3.36,
shift_register_top_w8_d128_e0.btor2,18.65,380,0.36,0.70,
arbitrated_top_n2_w8_d64_e0.btor2,37.91,650,2.70,4.55,
arbitrated_top_n2_w128_d32_e0.btor2,39.73,742,2.56,4.96,
arbitrated_top_n3_w16_d32_e0.btor2,35.14,647,2.53,4.24,
arbitrated_top_n2_w64_d64_e0.btor2,41.77,740,2.01,3.37,
arbitrated_top_n4_w16_d32_e0.btor2,41.83,666,1.99,3.24,
circular_pointer_top_w64_d128_e0.btor2,30.48,645,1.78,3.34,
arbitrated_top_n5_w8_d32_e0.btor2,46.12,747,2.21,3.66,
arbitrated_top_n2_w128_d64_e0.btor2,46.10,996,2.55,4.39,
arbitrated_top_n4_w32_d32_e0.btor2,47.17,979,2.48,3.95,
arbitrated_top_n4_w64_d32_e0.btor2,49.89,994,3.01,5.70,
arbitrated_top_n4_w128_d16_e0.btor2,53.00,1017,3.82,6.26,
arbitrated_top_n2_w8_d128_e0.btor2,57.25,996,2.96,4.76,
arbitrated_top_n4_w16_d64_e0.btor2,61.78,1008,3.33,5.37,
arbitrated_top_n5_w64_d16_e0.btor2,40.78,991,2.86,4.59,
arbitrated_top_n4_w8_d64_e0.btor2,56.48,1004,3.18,5.17,
arbitrated_top_n5_w32_d32_e0.btor2,47.29,995,2.84,4.57,
arbitrated_top_n5_w128_d8_e0.btor2,51.89,1492,4.35,6.89,
arbitrated_top_n3_w64_d64_e0.btor2,50.12,1003,3.20,5.17,
arbitrated_top_n3_w16_d128_e0.btor2,75.43,1098,4.43,7.09,
arbitrated_top_n4_w128_d64_e0.btor2,81.58,1711,5.75,9.22,
arbitrated_top_n3_w8_d128_e0.btor2,63.09,1085,4.23,6.83,
arbitrated_top_n3_w64_d128_e0.btor2,74.47,1703,5.03,8.00,
arbitrated_top_n5_w128_d64_e0.btor2,89.58,1757,6.78,10.81,
ridecore.btor,66.40,402,,,
buggy_ridecore.btor,62.08,399,,,
