base,Cpu,Mem,BMC,seahorn_total,Result
simple_alu.btor,0.70,562,,,
stack-p2.btor,1.27,354,0.01,0.06,
rast-p18.btor,2.54,365,0.04,0.27,
rast-p06.btor,2.65,364,0.05,0.29,
rast-p19.btor,2.69,368,0.05,0.29,
rast-p03.btor,7.38,470,0.43,0.96,
rast-p21.btor,8.88,507,0.53,1.16,
stack-p1.btor,9.27,412,0.39,0.78,
rast-p01.btor,17.37,658,1.14,2.28,
rast-p04.btor,17.39,657,1.17,2.32,
rast-p11.btor,38.76,1010,2.20,4.05,
rast-p00.btor,40.26,1016,2.43,4.41,
rast-p16.btor,41.01,1029,2.40,4.45,
rast-p17.btor,41.20,1029,2.55,4.70,
rast-p14.btor,41.80,1030,2.42,4.50,
